Serial number,Wavelength (nm),Absolute spectral value (W/m2/nm),Relative spectral value
203,582,1.51E-01,0.16
204,583,1.52E-01,0.1611
205,584,1.53E-01,0.1628
206,585,1.54E-01,0.1635
207,586,1.54E-01,0.1636
208,587,1.56E-01,0.1652
209,588,1.57E-01,0.1666
210,589,1.58E-01,0.1672
211,590,1.58E-01,0.1676
212,591,1.58E-01,0.1679
213,592,1.60E-01,0.1693
214,593,1.61E-01,0.1707
215,594,1.60E-01,0.17
216,595,1.60E-01,0.1696
217,596,1.60E-01,0.1699
218,597,1.60E-01,0.1701
219,598,1.60E-01,0.1703
220,599,1.61E-01,0.1703
221,600,1.60E-01,0.1702
222,601,1.60E-01,0.17
223,602,1.60E-01,0.1696
224,603,1.59E-01,0.1689
225,604,1.59E-01,0.1684
226,605,1.58E-01,0.1681
227,606,1.59E-01,0.1686
228,607,1.59E-01,0.1686
229,608,1.58E-01,0.1679
230,609,1.58E-01,0.1675
231,610,1.58E-01,0.1673
232,611,1.57E-01,0.1666
233,612,1.57E-01,0.1662
234,613,1.57E-01,0.1664
235,614,1.57E-01,0.1665
236,615,1.57E-01,0.1665
237,616,1.56E-01,0.1661
238,617,1.56E-01,0.1659
239,618,1.57E-01,0.1667
240,619,1.58E-01,0.1676
241,620,1.59E-01,0.1688
242,621,1.60E-01,0.1695
243,622,1.60E-01,0.1701
244,623,1.61E-01,0.1712
245,624,1.63E-01,0.1731
246,625,1.66E-01,0.1761
247,626,1.68E-01,0.1786
248,627,1.71E-01,0.1812
249,628,1.75E-01,0.1854
250,629,1.79E-01,0.1903
251,630,1.85E-01,0.1961
252,631,1.91E-01,0.2027
253,632,1.98E-01,0.2097
254,633,2.06E-01,0.2185
255,634,2.15E-01,0.2281
256,635,2.25E-01,0.2389
257,636,2.36E-01,0.2505
258,637,2.47E-01,0.2623
259,638,2.62E-01,0.2784
260,639,2.78E-01,0.2953
261,640,2.96E-01,0.3137
262,641,3.15E-01,0.3341
263,642,3.35E-01,0.3556
264,643,3.59E-01,0.3808
265,644,3.83E-01,0.4067
266,645,4.09E-01,0.4342
267,646,4.36E-01,0.4627
268,647,4.64E-01,0.4919
269,648,4.96E-01,0.5267
270,649,5.30E-01,0.5619
271,650,5.63E-01,0.5974
272,651,5.99E-01,0.6361
273,652,6.38E-01,0.6772
274,653,6.74E-01,0.715
275,654,7.08E-01,0.7512
276,655,7.38E-01,0.7833
277,656,7.60E-01,0.8068
278,657,7.77E-01,0.8245
279,658,7.79E-01,0.8261
280,659,7.74E-01,0.8215
281,660,7.57E-01,0.8031
282,661,7.29E-01,0.7733
283,662,6.94E-01,0.7361
284,663,6.47E-01,0.6864
285,664,5.97E-01,0.6333
286,665,5.41E-01,0.5738
287,666,4.84E-01,0.5136
288,667,4.27E-01,0.4527
289,668,3.73E-01,0.3963
290,669,3.23E-01,0.3428
291,670,2.79E-01,0.296
292,671,2.40E-01,0.2549
293,672,2.04E-01,0.2166
294,673,1.77E-01,0.1882
295,674,1.53E-01,0.1623
296,675,1.33E-01,0.1411
297,676,1.17E-01,0.124
298,677,1.03E-01,0.1089
299,678,9.12E-02,0.0967
300,679,8.09E-02,0.0858
301,680,7.26E-02,0.0771
302,681,6.52E-02,0.0692
303,682,5.82E-02,0.0617
304,683,5.35E-02,0.0568
305,684,4.90E-02,0.052
306,685,4.46E-02,0.0473
307,686,4.19E-02,0.0445
308,687,3.95E-02,0.042
309,688,3.60E-02,0.0382
310,689,3.38E-02,0.0359
311,690,3.29E-02,0.0349
312,691,3.10E-02,0.0329
313,692,2.90E-02,0.0308
314,693,2.72E-02,0.0289
315,694,2.59E-02,0.0275
316,695,2.51E-02,0.0266
317,696,2.39E-02,0.0254
318,697,2.25E-02,0.0239
319,698,2.06E-02,0.0219
320,699,1.97E-02,0.0209
321,700,1.94E-02,0.0206
